Document|Id|Text|Username|Date|Hashtags|Mentions|Likes|Retweets|Url|Clean_text
doc_1876|1575887629953794057|@RealDeal0321 @PeteThamel Don't be a douche #HurricaneIan|PatrickNurseFTW|Fri Sep 30 16:37:44 +0000 2022|['HurricaneIan']|['RealDeal0321', 'PeteThamel']|0|0|https://twitter.com/PatrickNurseFTW/status/1575887629953794057|['petethamel', 'douch', 'hurricaneian']
doc_1877|1575887606071853056|"Martin County Public Works field ops crews worked throughout #HurricaneIan clearing roads, removing debris from streets and canals and ensuring drainage systems were moving water away from homes and businesses. 
#HurricaneIan #PublicWorksAtWork #martincountyflorida https://t.co/e21pi34u2F"|MartinCountygov|Fri Sep 30 16:37:38 +0000 2022|['HurricaneIan', 'HurricaneIan', 'PublicWorksAtWork', 'martincountyflorida']||4|1|https://twitter.com/MartinCountygov/status/1575887606071853056|['martin', 'counti', 'public', 'work', 'field', 'op', 'crew', 'work', 'throughout', 'hurricaneian', 'clear', 'road', 'remov', 'debri', 'street', 'canal', 'ensur', 'drainag', 'system', 'move', 'water', 'away', 'home', 'busi', 'hurricaneian', 'publicworksatwork', 'martincountyflorida']
doc_1878|1575887604779995138|As we head into the weekend, be prepared for rain and windy conditions as the remnants of #HurricaneIan move through the region. Stay safe, stay prepared and be #TUReady for anything. https://t.co/6b5FNBYmpU|TempleUOEM|Fri Sep 30 16:37:38 +0000 2022|['HurricaneIan', 'TUReady']||1|0|https://twitter.com/TempleUOEM/status/1575887604779995138|['head', 'weekend', 'prepar', 'rain', 'windi', 'condit', 'remnant', 'hurricaneian', 'move', 'region', 'stay', 'safe', 'stay', 'prepar', 'tureadi', 'anyth']
doc_1879|1575887597607321604|"#HurricaneIan #Ian #Carolinas #ncwx #scwx #Florida #Charleston #SC
Myrtle Beach Volleyball Live Cam South Carolina
https://t.co/wPjObKMdYp"|ShallowReality|Fri Sep 30 16:37:36 +0000 2022|['HurricaneIan', 'Ian', 'Carolinas', 'ncwx', 'scwx', 'Florida', 'Charleston', 'SC']||0|0|https://twitter.com/ShallowReality/status/1575887597607321604|['hurricaneian', 'ian', 'carolina', 'ncwx', 'scwx', 'florida', 'charleston', 'sc', 'myrtl', 'beach', 'volleybal', 'live', 'cam', 'south', 'carolina']
doc_1880|1575887555119415296|One of the most terrifying videos of the impact of #HurricaneIan. Use the trees on the left as a guide &amp; watch. https://t.co/1HHdhJsqnQ|cbctom|Fri Sep 30 16:37:26 +0000 2022|['HurricaneIan']||30|10|https://twitter.com/cbctom/status/1575887555119415296|['one', 'terrifi', 'video', 'impact', 'hurricaneian', 'use', 'tree', 'left', 'guid', 'amp', 'watch']
doc_1881|1575887548039036933|This #Matlacha home was destroyed by #HurricaneIan. Neighbors tell me the man who lived here got out just in time before his house crumbled @NBC2 https://t.co/YzGCYFFvP5|ClaireNBC2|Fri Sep 30 16:37:24 +0000 2022|['Matlacha', 'HurricaneIan']|['NBC2']|6|0|https://twitter.com/ClaireNBC2/status/1575887548039036933|['matlacha', 'home', 'destroy', 'hurricaneian', 'neighbor', 'tell', 'man', 'live', 'got', 'time', 'hous', 'crumbl']
doc_1882|1575887523074768896|"@NWSSPC Please tune into your local weather 
Follow your states Emergency Advisories

States of Emergency for
Georgia @GeorgiaEMAHS
S Carolina @SCEMD
N Carolina @NCPublicSafety
Virginia @VDEM
#HurricaneIan 
#hurricanequestions 
#Ian
@NHC_Atlantic
@fema
@RedCross
https://t.co/7GoiLh6BVe"|JCTrevino9|Fri Sep 30 16:37:18 +0000 2022|['HurricaneIan', 'hurricanequestions', 'Ian']|['NWSSPC', 'GeorgiaEMAHS', 'SCEMD', 'NCPublicSafety', 'VDEM', 'NHC_Atlantic', 'fema', 'RedCross']|0|0|https://twitter.com/JCTrevino9/status/1575887523074768896|['nwsspc', 'pleas', 'tune', 'local', 'weather', 'follow', 'state', 'emerg', 'advisori', 'state', 'emerg', 'georgia', 'georgiaemah', 'carolina', 'scemd', 'n', 'carolina', 'ncpublicsafeti', 'virginia', 'vdem', 'hurricaneian', 'hurricanequest', 'ian', 'fema', 'redcross']
doc_1883|1575887515080396801|"“It doesn’t matter whether it’s an earthquake, a wildfire, hurricane, tornado, snowstorm. If you name it, we’re going to run to it.” The @Verizon response team is in Florida helping communities, first responders &amp; our customers. #HurricaneIan

Learn more: https://t.co/XcTz1PBVUf https://t.co/r6vDYo5Qu8"|InsideVerizon|Fri Sep 30 16:37:16 +0000 2022|['HurricaneIan']|['Verizon']|17|4|https://twitter.com/InsideVerizon/status/1575887515080396801|['matter', 'whether', 'earthquak', 'wildfir', 'hurrican', 'tornado', 'snowstorm', 'name', 'go', 'run', 'verizon', 'respons', 'team', 'florida', 'help', 'commun', 'first', 'respond', 'amp', 'custom', 'hurricaneian', 'learn']
doc_1884|1575887451197177856|Information you can use from @UF_IFAS: Spotting scams after #HurricaneIan https://t.co/jZO3SuSV4Y|GatorAdvocates|Fri Sep 30 16:37:01 +0000 2022|['HurricaneIan']|['UF_IFAS']|2|2|https://twitter.com/GatorAdvocates/status/1575887451197177856|['inform', 'use', 'spot', 'scam', 'hurricaneian']
doc_1885|1575887437603012620|An update live from the field on #HurricaneIan https://t.co/cOSr1BZhzv|MStavrinakis|Fri Sep 30 16:36:58 +0000 2022|['HurricaneIan']||4|0|https://twitter.com/MStavrinakis/status/1575887437603012620|['updat', 'live', 'field', 'hurricaneian']
